Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Blur,[0.09558553 0.05057951 0.10107394 0.43672603],,[0.02682786 0.01869448 0.16838741 0.28820717],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Flip,[0.10487549 0.05303846 0.11218245 0.44499233],,[0.01706131 0.00963298 0.18211193 0.32267958],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Flip + Blur,[0.12320637 0.05667485 0.10043903 0.6574737 ],,[0.02200282 0.01151359 0.07294519 0.2393384 ],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Jitter,[0.09693769 0.0442184  0.07026723 0.5352926 ],,[0.02042041 0.00612401 0.02329269 0.29442793],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Jitter + Blur,[0.08070122 0.04913446 0.06152056 0.42865834],,[0.02071842 0.00916949 0.02182636 0.29302976],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Jitter + Flip,[0.11365706 0.05600016 0.10686026 0.49684373],,[0.02273005 0.01100586 0.10231607 0.31078002],
JasperRidge,"Results (25 runs, no seed, same images)",Jitter + Flip,[0.10390717 0.05759781 0.0833367  0.56204474],,[0.01837751 0.01268024 0.04202798 0.30829334],
JasperRidge,"Results (25 runs, no seed, same images)",Jitter + Flip + Blur,[0.11287165 0.05251041 0.1255183  0.39994973],,[0.02020204 0.00950147 0.18007815 0.32274854],
JasperRidge,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 1.0])",[0.06897926 0.04574416 0.08105963 0.30015436],,[0.02879791 0.00440597 0.0372767  0.14254253],
JasperRidge,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 2.0])",[0.07984151 0.04602208 0.10596533 0.27523795],,[0.03236789 0.00774966 0.07580957 0.16974318],
JasperRidge,"Results (25 runs, seed, same images)",Crop (50),[0.12090021 0.09199774 0.14934556 0.1708117 ],,[0.03959598 0.00722208 0.05361874 0.05220363],
